a,c,m
106,	1283,	6075
211,	1663,	7875
421,	1663,	7875
430,	2531,	11979
936,	1399,	6655
1366,	1283,	6075
171,	11213,	53125
859,	2531,	11979
419,	6173,	29282
967,	3041,	14406
141,	28411,	134456
625,	6571,	31104
1541,	2957,	14000
1741,	2731,	12960
1291,	4621,	21870
205,	29573,	139968
421,	17117,	81000
1255,	6173	,29282
281,	28411	,134456
1093,	18257	,86436
421	,54773	,259200
1021,	24631	,116640
1277,	24749	,117128
2041,	25673	,121500
2311,	25367	,120050
1597,	51749	,244944
2661,	36979	,175000
4081,	25673	,121500
3661,	30809	,145800
3877,	29573	,139968
3613,	45289	,214326
1366,	150889	,714025
8121,	28411	,134456
4561,	51349	,243000
7141,	54773	,259200
9301,	49297	,233280
4096,	150889	,714025
2416,	374441	,1771875
17221,	107839	,510300
36261,	66037	,312500
84589,	45989	,217728
